Hersteller;Name;"Vorn/hinten";Lochzahl;DSL;D2L;D2R;AL;AR
SHIMANO;EXAGE, FH-451, 7-fach, 126mm, UG;h;36;2.5;45;45;35;23
SHIMANO;EXAGE, FH-H650, 7- fach, 126 mm;h;36;2.5;45;45;35;20
SHIMANO;EXAGE, FH-RM50, 7- fach, 126 mm;h;36;2.5;45;45;37;21
SHIMANO;EXAGE, HB-RM50, 100 mm;v;36;2.5;38;38;35;35
SHIMANO;FH - C070 - 700 CX;h;36;2.5;45;45;34;25
SHIMANO;FH-6207, 600 7-Fach, UG;h;36;2.5;45;45;32;22
SHIMANO;FH-CT90,  ALTUS hinten;h;36;2.5;45;45;37;21
SHIMANO;FH-HG50, 7- fach, 130 mm;h;36;2.5;45;45;35;18
SHIMANO;FH-M 756 Disc, 135 mm;h;36;2.5;61.5;61.5;35;22
SHIMANO;FH-MC 33 STX - RC ,  8- fach, 135 mm;h;36;2.5;45;45;36;19
SHIMANO;FH-R050, SILENT CLUTCH;h;36;2.5;45;45;35;24
SHIMANO;FH-R080, SILENT CLUTCH, 135 mm;h;36;2.5;45;45;34;21
SHIMANO;FH-R700, Rollenbremse;h;36;2.5;74;74;32;19
SHIMANO;FH-RD 40, 130mm;h;36;2.5;45;45;37;21
SHIMANO;HB-6207;v;36;2.5;38;38;36;36
SHIMANO;HB-M475 disc;v;36;2.5;60;60;21;33
SHIMANO;HB-M756 Disc;v;36;2.5;60;60;22;33
SHIMANO;HB-RM50;v;36;2.5;38;38;35;35
SHIMANO;HG 50 mit compact Rollerbrake, 126 mm;h;36;2.5;74;74;33;19
SHIMANO;INTEGO 3/8-Gang, IF-C530, 135 mm,;h;36;2.5;72;72;37;22
SHIMANO;INTER 3 (SG 3 C 40);h;36;2.8;59;59;28;28
SHIMANO;INTER 7,  128 mm;h;36;2.5;83;83;32;23
SHIMANO;Nabendynamo Alfine DH-S501;v;36;2.5;70;70;20;29
SHIMANO;Nabendynamo DH-3D71;v;36;2.5;74;74;20;29
SHIMANO;Nabendynamo DH-3N20;v;36;2.5;74;74;28;28
SHIMANO;Nabendynamo DH-3N30;v;36;2.5;74;74;28;28
SHIMANO;Nabendynamo DH-3N72;v;36;2.5;70;70;28;28
SHIMANO;Nabendynamo DH-3N80;v;32;2.5;70;70;28;28
SHIMANO;Nabendynamo DH-3R30-H;v;36;2.5;74;74;25;15
SHIMANO;Nabendynamo DH-3R40 Nexus m. Rollenbremse;v;36;2.5;80;80;23;27
SHIMANO;Nabendynamo DH-T660-3N;v;36;2.5;70;70;30;31
SHIMANO;Nabendynamo DH-T665;v;36;2.5;70;70;20;29
SHIMANO;Nabendynamo DH-T670;v;36;2.5;70;70;28;28
SHIMANO;Nabendynamo DH-T780;v;36;2.5;70;70;28;28
SHIMANO;Nabendynamo DH-T785 mit Scheibenbremsaufnahme;v;36;2.5;70;70;20;29
SHIMANO;Nabendynamo HB-NX-32;v;36;2.5;79;79;31;30
SHIMANO;Nabendynamo K 405, Scheibenbremse;h;36;2.5;74;74;20;28
SHIMANO;NEXUS 3-Gang, SG-3R40  m. Rollenbremse;h;36;2.5;74;74;28;23
SHIMANO;NEXUS 4-Gang, Rollenbr. B=127 mm;h;36;2.8;83;83;31;23
SHIMANO;NEXUS 4-Gang, Rücktritt  B=124mm;h;36;2.5;83;83;31;24
SHIMANO;NEXUS 7-Gang, Rollerbrake B=130mm;h;36;2.5;87;87;31;23
SHIMANO;NEXUS 8-Gang PREMIUM;h;36;2.9;92;92;31;25
SHIMANO;NEXUS Rollerbrakenabe ( Brems-Seite = links);v;36;2.5;52;52;24;34
SHIMANO;NEXUS SG7-C30- 7Gang, Rücktrittbremse B=128mm;h;36;3;84;84;30;21
SHIMANO;NX-10,  Nabenddynamo (98`);v;36;2.5;77;77;30;30
SHIMANO;NX-50, Nabendynamo m. Rollenbr.;v;36;2.5;80;80;23;31
SHIMANO;RACER, 100 mm;v;36;2.5;41;41;28;28
SHIMANO;Racer, 130 mm, 8/9- fach;h;36;2.5;46;46;40;20
SHIMANO;RACER, 8/9-fach, 135 mm;h;36;2.5;46;46;37;22
SHIMANO;RSX, 8-fach, 130mm;h;36;2.5;45;45;38;20
SHIMANO;Rückbremsnabe CB-E110, 126 mm (spezial!);h;36;2.5;48;48;36;38
SHIMANO;RX 100 , 100mm;v;36;2.5;38;38;35;35
SHIMANO;RX 100 , FH A - 550,  7- fach, 126mm;h;36;2.5;45;45;36;18
SHIMANO;Scheibenbremsnabe M16, Hochflansch;v;36;2.5;60;60;23;35
SHIMANO;SG-3R40 - mit 3mm Spacer links (130mm Einbaubreite;h;36;2.5;74;74;25;25
SHIMANO;SG-8R25 / 8Fach-Nabens. o. Rücktritt;h;36;3;92;92;30;25
SHIMANO;STX, FH-MC 30-CH Spezial Edition 7-fach;h;36;2.5;45;45;35;24
SHIMANO;STX, HB-MC30 - CH, Special edition;v;36;2.5;38;38;34;34
SHIMANO;STX, Silent Clutch, 135mm, 7-fach;h;36;2.5;45;45;35;24
SHIMANO;Tiagra FH-4400;h;36;2.5;45;45;35;18
SHIMANO;Tiagra HB 4500;v;36;2.5;38;38;34;34
SHIMANO;ULTEGRA FH-6500;h;32;2;45;45;35;19
SHIMANO;Ultegra FH-6600;h;36;2.6;45;45;37;19
SHIMANO;ULTEGRA FH-6700;h;36;2;45;45;36;19
SHIMANO;ULTEGRA FH-6800;h;36;2.5;45;45;36;17
SHIMANO;ULTEGRA HB-6500;v;32;2;38;38;35;35
SHIMANO;Ultegra HB-6600;v;36;2.6;38;38;31;31
SHIMANO;ULTEGRA HB-6700;v;36;2;38;38;34;34
SHIMANO;XTR Hinterrad, 8-f., 135 mm;h;32;2.5;45;45;34;29
SHIMANO;XTR, FH-M900, 135 mm;h;36;2.5;45;45;34;22
SHIMANO;XTR, FH-M950, 135 mm;h;36;2.5;45;45;36;23
SHIMANO;XTR, HB-M 900;v;36;2.5;38;38;35;35
SHIMANO;XTR, HB-M950, 100 mm;v;32;2.5;38;38;36;36
SHIMANO;XTR- UG (alt), 126 mm;h;36;2.5;45;45;36;20
SP Dynamo Hub;Nabendynamo "SD-8" - Scheibenbremse;v;36;2.5;58;52;25;25
SP Dynamo Hub;PV-8 Nabendynamo;v;36;2.5;52;52;23;23
SRAM;Automatix für Rollerbrake 130 mm;h;36;2.5;70;70;25;29
SRAM;Dualdrive 3x8;h;36;2.5;68;68;32;19
SRAM;i-motion 3 Gang;h;36;3;70;70;27.5;27.5
SRAM;i-Motion 9 Gang;h;36;2.5;94;94;30;26
SRAM;P5 Cargo;h;36;3;75;75;29;27
SRAM;S7;h;36;2.5;75;75;38;30
SRAM;T3;h;36;3.2;58;58;26;24
SRAM;Torpedo singlespeed 130mm;h;32;2.5;67;67;29;29
Sturmey Archer;Nabendynamo m. Trommelbr. X-FDD;v;36;2.5;89;89;30;28
Sturmey Archer;S2 Kick Shift 120mm;h;36;2.5;67;67;27;25
Sturmey Archer;SAB 3 Trommelbremsnabe hinten, 3- Gang;h;36;2.9;84;65;38;28
Sturmey Archer;SPRINTER COASTER, 5 Gang, rücktritt;h;36;2.5;65;65;29;28
