Name;lochzahl;speichenlochDM;lochkreisDML;lochkreisDMR;abstandL;abstandR
SHIMANO NEXUS 8-Gang PREMIUM;36;2.9;92;92;31;25
SHIMANO NEXUS Rollerbrakenabe ( Brems-Seite = links);36;2.5;52;52;24;34
SHIMANO NEXUS SG7-C30- 7Gang, Rücktrittbremse B=128mm;36;3;84;84;30;21
SHIMANO NX-10,  Nabenddynamo (98`);36;2.5;77;77;30;30
SHIMANO NX-50, Nabendynamo m. Rollenbr.;36;2.5;80;80;23;31
SHIMANO RACER, 100 mm;36;2.5;41;41;28;28
SHIMANO Racer, 130 mm, 8/9- fach;36;2.5;46;46;40;20
SHIMANO RACER, 8/9-fach, 135 mm;36;2.5;46;46;37;22
SHIMANO RSX, 8-fach, 130mm;36;2.5;45;45;38;20
SHIMANO Rückbremsnabe CB-E110, 126 mm (spezial!);36;2.5;48;48;36;38
SHIMANO RX 100 , 100mm;36;2.5;38;38;35;35
SHIMANO RX 100 , FH A - 550,  7- fach, 126mm;36;2.5;45;45;36;18
SHIMANO Scheibenbremsnabe M16, Hochflansch;36;2.5;60;60;23;35
SHIMANO SG-3R40 - mit 3mm Spacer links (130mm Einbaubreite;36;2.5;74;74;25;25
SHIMANO SG-8R25 / 8Fach-Nabens. o. Rücktritt;36;3;92;92;30;25
SHIMANO STX, FH-MC 30-CH Spezial Edition 7-fach;36;2.5;45;45;35;24
SHIMANO STX, HB-MC30 - CH, Special edition;36;2.5;38;38;34;34
SHIMANO STX, Silent Clutch, 135mm, 7-fach;36;2.5;45;45;35;24
SHIMANO Tiagra FH-4400;36;2.5;45;45;35;18
SHIMANO Tiagra HB 4500;36;2.5;38;38;34;34
SHIMANO ULTEGRA FH-6500;32;2;45;45;35;19
SHIMANO Ultegra FH-6600;36;2.6;45;45;37;19
SHIMANO ULTEGRA FH-6700;36;2;45;45;36;19
SHIMANO ULTEGRA FH-6800;36;2.5;45;45;36;17
SHIMANO ULTEGRA HB-6500;32;2;38;38;35;35
SHIMANO Ultegra HB-6600;36;2.6;38;38;31;31
SHIMANO ULTEGRA HB-6700;36;2;38;38;34;34
SHIMANO XTR Hinterrad, 8-f., 135 mm;32;2.5;45;45;34;29
SHIMANO XTR, FH-M900, 135 mm;36;2.5;45;45;34;22
SHIMANO XTR, FH-M950, 135 mm;36;2.5;45;45;36;23
SHIMANO XTR, HB-M 900;36;2.5;38;38;35;35
SHIMANO XTR, HB-M950, 100 mm;32;2.5;38;38;36;36
SHIMANO XTR- UG (alt), 126 mm;36;2.5;45;45;36;20
"SP Dynamo Hub Nabendynamo ""SD-8"" - Scheibenbremse";36;2.5;58;52;25;25
SP Dynamo Hub PV-8 Nabendynamo;36;2.5;52;52;23;23
SRAM Automatix für Rollerbrake 130 mm;36;2.5;70;70;25;29
SRAM Dualdrive 3x8;36;2.5;68;68;32;19
SRAM i-motion 3 Gang;36;3;70;70;27.5;27.5
SRAM i-Motion 9 Gang;36;2.5;94;94;30;26
